,"China National Emissions Trading System",,,," ","European Union Emissions Trading System (until 2018)",,,," ","Korean Emissions Trading System",,,,," ","New Zealand Emissions Trading System (Up to 2023)",,,,,,,," ","New Zealand Emissions Trading System (From 2024)",,,,,,,," "
Date,"Exchange rate CNY/EUR","Exchange rate CNY/USD","Market Currency","Secondary Market"," ","Exchange rate EUR/EUR","Exchange rate EUR/USD","Market Currency","Primary Market"," ","Exchange rate KRW/EUR","Exchange rate KRW/USD","Market Currency","Primary Market","Secondary Market"," ","Exchange rate NZD/EUR","Exchange rate NZD/USD","Market Currency","Primary Market","Primary Stability 1","Primary Stability 2","Secondary Market","Secondary Stability 5"," ","Exchange rate NZD/EUR","Exchange rate NZD/USD","Market Currency","Primary Market","Primary Stability 1","Primary Stability 2","Primary Stability 3","Secondary Market"," "
2021-12-16,0.138940904,0.157055777,CNY,44.22," ",,,,," ",0.000747419,0.000844866,KRW,,34000," ",0.600257577,0.678518116,NZD,,,,68.15,," ",,,,,,,,," "
2021-12-17,0.138940904,0.157055777,CNY,46.66," ",,,,," ",0.000747419,0.000844866,KRW,,35000," ",0.600257577,0.678518116,NZD,,,,68.17,," ",,,,,,,,," "
2021-12-20,0.138940904,0.157055777,CNY,49.18," ",,,,," ",0.000747419,0.000844866,KRW,,35250," ",0.600257577,0.678518116,NZD,,,,68.5,," ",,,,,,,,," "
2021-12-21,0.138940904,0.157055777,CNY,49.49," ",,,,," ",0.000747419,0.000844866,KRW,,35350," ",0.600257577,0.678518116,NZD,,,,68.5,," ",,,,,,,,," "
2021-12-22,0.138940904,0.157055777,CNY,49.39," ",,,,," ",0.000747419,0.000844866,KRW,,35100," ",0.600257577,0.678518116,NZD,,,,68.5,," ",,,,,,,,," "
2021-12-23,0.138940904,0.157055777,CNY,49.57," ",,,,," ",0.000747419,0.000844866,KRW,,35100," ",0.600257577,0.678518116,NZD,,,,68.5,," ",,,,,,,,," "
2021-12-24,0.138940904,0.157055777,CNY,49.52," ",,,,," ",0.000747419,0.000844866,KRW,,35000," ",0.600257577,0.678518116,NZD,,,,68.45,," ",,,,,,,,," "
2021-12-27,0.138940904,0.157055777,CNY,48.13," ",,,,," ",0.000747419,0.000844866,KRW,,34900," ",,,,,,,,," ",,,,,,,,," "
2021-12-28,0.138940904,0.157055777,CNY,51.69," ",,,,," ",0.000747419,0.000844866,KRW,,35000," ",,,,,,,,," ",,,,,,,,," "
2021-12-29,0.138940904,0.157055777,CNY,56.64," ",,,,," ",0.000747419,0.000844866,KRW,,35050," ",0.600257577,0.678518116,NZD,,,,68.2,," ",,,,,,,,," "
2021-12-30,0.138940904,0.157055777,CNY,57.06," ",,,,," ",0.000747419,0.000844866,KRW,,35100," ",0.600257577,0.678518116,NZD,,,,68.15,," ",,,,,,,,," "
2021-12-31,0.138940904,0.157055777,CNY,54.22," ",,,,," ",,,,,," ",0.600257577,0.678518116,NZD,,,,68.2,," ",,,,,,,,," "
2022-01-04,0.139054509,0.157332893,CNY,57.29," ",,,,," ",0.000740214,0.000837514,KRW,,35100," ",,,,,,,,," ",,,,,,,,," "
2022-01-05,0.139054509,0.157332893,CNY,56.94," ",,,,," ",0.000740214,0.000837514,KRW,,35050," ",0.596050381,0.674399784,NZD,,,,68.25,," ",,,,,,,,," "
2022-01-06,0.139054509,0.157332893,CNY,57.26," ",,,,," ",0.000740214,0.000837514,KRW,,35300," ",0.596050381,0.674399784,NZD,,,,68.35,," ",,,,,,,,," "
2022-01-07,0.139054509,0.157332893,CNY,57.59," ",,,,," ",0.000740214,0.000837514,KRW,,35400," ",0.596050381,0.674399784,NZD,,,,68.37,," ",,,,,,,,," "
2022-01-10,0.139054509,0.157332893,CNY,58.28," ",,,,," ",0.000740214,0.000837514,KRW,,35300," ",0.596050381,0.674399784,NZD,,,,68.6,," ",,,,,,,,," "
2022-01-11,0.139054509,0.157332893,CNY,57.52," ",,,,," ",0.000740214,0.000837514,KRW,,35400," ",0.596050381,0.674399784,NZD,,,,69.1,," ",,,,,,,,," "
2022-01-12,0.139054509,0.157332893,CNY,57.99," ",,,,," ",0.000740214,0.000837514,KRW,35250,35400," ",0.596050381,0.674399784,NZD,,,,70.25,," ",,,,,,,,," "
2022-01-13,0.139054509,0.157332893,CNY,57.75," ",,,,," ",0.000740214,0.000837514,KRW,,35400," ",0.596050381,0.674399784,NZD,,,,72,," ",,,,,,,,," "
2022-01-14,0.139054509,0.157332893,CNY,57.77," ",,,,," ",0.000740214,0.000837514,KRW,,35350," ",0.596050381,0.674399784,NZD,,,,72,," ",,,,,,,,," "
